Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
4,Erling Haaland,Manchester City,0.17,0.62,Goal,8,Left Foot,Volley,Rodri,Pass (Live),Kevin De Bruyne,Pass (Live)
6,Kevin De Bruyne,Manchester City,0.02,0,Off Target,32,Right Foot,,Phil Foden,Pass (Live),Nathan Aké,Pass (Live)
11,Erling Haaland,Manchester City,0.21,0,Off Target,6,Right Foot,Volley,Kevin De Bruyne,Pass (Live),Rodri,Pass (Live)
15,Luca Koleosho,Burnley,0.08,0,Off Target,15,Right Foot,,Vitinho,Pass (Live),Lyle Foster,Pass (Live)
18,Zeki Amdouni,Burnley,0.03,0.02,Saved,15,Left Foot,,Luca Koleosho,Pass (Live),Vitinho,Pass (Live)
29,Lyle Foster,Burnley,0.03,0,Off Target,16,Right Foot,,Lyle Foster,Take-On,,
36,Erling Haaland,Manchester City,0.14,0.5,Goal,13,Left Foot,,Julián Álvarez,Pass (Live),Kyle Walker,Pass (Live)
37,Lyle Foster,Burnley,0.12,0,Blocked,16,Right Foot,,Luca Koleosho,Pass (Live),Zeki Amdouni,Tackle
46,Phil Foden,Manchester City,0.24,0.33,Saved,10,Left Foot,,Phil Foden,Take-On,Mateo Kovačić,Pass (Live)
52,Erling Haaland,Manchester City,0.05,0,Blocked,11,Left Foot,,Julián Álvarez,Pass (Live),Rodri,Pass (Live)
53,Phil Foden,Manchester City,0.04,0,Blocked,8,Left Foot,Volley,,,,
55,Rodri,Manchester City,0.02,0.05,Saved,34,Right Foot,,,,,
55,Rodri,Manchester City,0.01,0.26,Saved,15,Head,,Julián Álvarez,Pass (Dead),Rodri,Shot
60,Julián Álvarez,Manchester City,0.06,0,Off Target,15,Right Foot,,Erling Haaland,Pass (Live),Phil Foden,Pass (Live)
67,Rodri,Manchester City,0.05,0,Blocked,16,Right Foot,,Julián Álvarez,Pass (Live),Rico Lewis,Pass (Live)
75,Nathan Aké,Manchester City,0.31,0,Blocked,5,Left Foot,Volley,Erling Haaland,Fouled,Ederson,Pass (Live)
75,Rodri,Manchester City,0.42,0.93,Goal,5,Right Foot,,Nathan Aké,Shot,,
79,Julián Álvarez,Manchester City,0.2,0,Blocked,13,Right Foot,,Erling Haaland,Pass (Live),Rodri,Pass (Live)
80,Anass Zaroury,Burnley,0.04,0,Blocked,21,Left Foot,,Lyle Foster,Pass (Live),Jacob Bruun Larsen,Pass (Live)
82,Jacob Bruun Larsen,Burnley,0.02,0,Off Target,7,Head,,Anass Zaroury,Pass (Dead),,
86,Julián Álvarez,Manchester City,0.09,0.02,Saved,14,Right Foot,,Phil Foden,Pass (Live),Manuel Akanji,Pass (Live)
88,Phil Foden,Manchester City,0.02,0,Off Target,21,Left Foot,,Julián Álvarez,Pass (Dead),Mateo Kovačić,Fouled
95,Aymeric Laporte,Manchester City,0.04,0.02,Saved,11,Head,,Julián Álvarez,Pass (Dead),Kyle Walker,Fouled
